club,country
AE Kifisia,Greece
AIK Stockholm,Sweden
Ajax,Netherlands
Al-Ahli,Saudi Arabia
Al-Ettifaq,Saudi Arabia
Al-Hilal,Saudi Arabia
Al-Ittihad,Saudi Arabia
Al-Najma,Saudi Arabia
Al-Nassr,Saudi Arabia
Al-Qadsiah,Saudi Arabia
Al-Shabab,Saudi Arabia
Al-Ula,Saudi Arabia
Almere City,Netherlands
América,Mexico
Angers,France
Arsenal,England
Aston Villa,England
Atalanta,Italy
Athletic Club,Spain
Atlanta Utd,USA
Atlético Madrid,Spain
Atlético Mineiro,Brazil
Atlético San Luis,Mexico
Auckland FC,Australia
Augsburg,Germany
Austria Wien,Austria
Auxerre,France
Barcelona,Spain
Bastia,France
Bayern Munich,Germany
Başakşehir,Turkey
Benfica,Portugal
Beveren,Belgium
Beşiktaş,Turkey
Birmingham City,England
Bodø/Glimt,Norway
Bologna,Italy
Botafogo–RJ,Brazil
Bournemouth,England
Braga,Portugal
Brentford,England
Brighton,England
Brøndby,Denmark
Burnley,England
Casa Pia,Portugal
Celtic,Scotland
Cerro Porteño,Paraguay
Charlotte,USA
Charlton Athletic,England
Chelsea,England
Chicago Fire,USA
Club Brugge,Belgium
Columbus Crew,USA
Como,Italy
Corinthians,Brazil
Cracovia,Poland
Cremonese,Italy
Cruz Azul,Mexico
Crystal Palace,England
Cultural Leonesa,Spain
Dortmund,Germany
Dynamo Moskva,Russia
Estrela,Portugal
Everton,England
FC Copenhagen,Denmark
FC Dallas,USA
FC Seoul,South Korea
FC Tokyo,Japan
FCSB,Romania
Fenerbahçe,Turkey
Ferencváros,Hungary
Feyenoord,Netherlands
Flamengo,Brazil
Fluminense,Brazil
Foolad,Iran
Frankfurt,Germany
Freiburg,Germany
Fulham,England
Galatasaray,Turkey
Gangwon FC,South Korea
Genk,Belgium
Genoa,Italy
Gil Vicente FC,Portugal
Girona,Spain
Gladbach,Germany
Granada,Spain
Grazer AK,Austria
Guadalajara,Mexico
Hamburger SV,Germany
Hannover 96,Germany
Hearts,Scotland
Hellas Verona,Italy
Hibernian,Scotland
Hoffenheim,Germany
Holstein Kiel,Germany
Hull City,England
Huracán,Argentina
Ind. Rivadavia,Argentina
Inter,Italy
Inter Miami,USA
Ipswich Town,England
Jeonbuk,South Korea
Juventus,Italy
Karlsruher,Germany
Kilmarnock,Scotland
Konyaspor,Turkey
Krasnodar,Russia
LAFC,USA
LASK,Austria
LDU Quito,Ecuador
Leeds United,England
Leicester City,England
Lens,France
Leverkusen,Germany
Lille,France
Liverpool,England
Loko Moscow,Russia
Lorient,France
Ludogorets,Bulgaria
Lugano,Switzerland
Lyon,France
Machida Zelvia,Japan
Mainz 05,Germany
Mallorca,Spain
Manchester City,England
Manchester Utd,England
Marseille,France
Melb City,Australia
Melb. Victory,Australia
Miami FC,USA
Middlesbrough,England
Midtjylland,Denmark
Milan,Italy
Millwall,England
Minnesota Utd,USA
Mjällby,Sweden
Monaco,France
Motherwell,Scotland
NEC Nijmegen,Netherlands
NYCFC,USA
Nancy,France
Napoli,Italy
Nashville SC,USA
Neom,Saudi Arabia
Newcastle,England
Nice,France
Nordsjælland,Denmark
Norwich City,England
Nottingham,England
Olympiacos,Greece
Orlando City,USA
Orlando Pirates,South Africa
Oviedo,Spain
PSG,France
PSV,Netherlands
Pachuca,Mexico
Palmeiras,Brazil
Parma,Italy
Persepolis,Iran
Philadelphia,USA
Pisa,Italy
Pogoń Szczecin,Poland
Portland Timbers,USA
Porto,Portugal
Puskás Akad.,Hungary
RB Leipzig,Germany
RB Salzburg,Austria
Rangers,Scotland
Rayo Vallecano,Spain
Real Betis,Spain
Real Madrid,Spain
Real Sociedad,Spain
Red Star,Serbia
Reims,France
Rennes,France
River Plate,Argentina
Rizespor,Turkey
Roma,Italy
Rostov,Russia
Saint-Étienne,France
San Lorenzo,Argentina
Sassuolo,Italy
Schalke 04,Germany
Sepahan,Iran
Sevilla,Spain
Shamrock,Ireland
Sheffield United,England
Silkeborg,Denmark
Sint-Truiden,Belgium
Slavia Prague,Czechia
Sparta Prague,Czechia
Sporting CP,Portugal
St Pauli,Germany
Strasbourg,France
Stuttgart,Germany
Sunderland,England
Sundowns,South Africa
Swansea City,England
Sydney FC,Australia
São Paulo,Brazil
Tijuana,Mexico
Toluca,Mexico
Tondela,Portugal
Torino,Italy
Toronto FC,Canada
Tottenham,England
Trabzonspor,Turkey
Tractor,Iran
Twente,Netherlands
UNAM,Mexico
Udinese,Italy
Union Berlin,Germany
Union SG,Belgium
Univ. Cluj,Romania
Utrecht,Netherlands
Vancouver,Canada
Venezia,Italy
Viking,Norway
Viktoria Plzeň,Czechia
Villarreal,Spain
Vit. Guimarães,Portugal
Volendam,Netherlands
Watford,England
Wellington,Australia
Werder Bremen,Germany
West Ham,England
Wolfsburg,Germany
Wolves,England
Wrexham,England
Young Boys,Switzerland
Zenit,Russia
Zhejiang,China
Zwolle,Netherlands
Zürich,Switzerland
